MIDA;COST;DEVIATION
1000;1.252;0.4842478704134874
2000;1.44;0.6183849933496013
3000;1.1226666666666667;0.3439276409685976
4000;1.58275;0.7177412051011354
5000;1.0752;0.26897018422123165
6000;1.1513333333333333;0.3583734861224472
7000;1.0575714285714286;0.23293123273549476
8000;1.4805;0.6836444616904458
9000;1.227111111111111;0.43484159170497366
10000;1.2125;0.41248484820657144
11000;1.178090909090909;0.4067744415286828
12000;1.6309166666666666;0.725507288997786
13000;1.155;0.4082490755559629
14000;1.1490714285714285;0.36074208520878376
15000;1.1037333333333332;0.31011728247373044
16000;1.6069375;0.8010551610805111
17000;1.1539411764705882;0.36300509971921247
18000;1.3842777777777777;0.5458403618434234
19000;1.1227894736842106;0.3310694121761841
20000;1.43365;0.5734088223074477
21000;1.2091904761904761;0.4215632042142152
22000;1.3716818181818182;0.549452528048106
23000;1.2866086956521738;0.5248882066589298
24000;1.574125;0.7488917262919385
25000;1.10164;0.30768378312809114
26000;1.3282307692307693;0.6258188056576689
27000;1.1719629629629629;0.3963993479721836
28000;1.4882142857142857;0.6103895335382464
29000;1.1634827586206897;0.3900454545296204
30000;1.1635666666666666;0.3818541766463745
31000;1.2410645161290323;0.4998556201533126
32000;1.73296875;0.9415946906834928
33000;1.4623636363636363;0.6588156415771871
34000;1.3207058823529412;0.5439242772455535
35000;1.2478;0.5092243569531667
36000;1.7446388888888889;0.8568914313693533
37000;1.2294054054054053;0.4844837575420102
38000;1.291657894736842;0.4625602536180437
39000;1.1624615384615384;0.4067584078624307
40000;1.685475;0.8302704525482649
41000;1.3351951219512195;0.5881018129669477
42000;1.4838333333333333;0.6668158672330667
43000;1.1720697674418605;0.38783405078257166
44000;1.5145;0.6493834313476523
45000;1.1122222222222222;0.32445776228366063
46000;1.3532826086956522;0.615025703352904
47000;1.186127659574468;0.4154913838891829
48000;1.4819375;0.6368270927760812
49000;1.2945714285714285;0.531385482124281
50000;1.19508;0.4447738679375089
